phase3_duration,phase3_Peso_avg,phase3_Presion_avg,phase3_Presion_max,phase3_Visco_max,phase3_Densidad_max
15.0,56129.45,3.2280092,3.2306085,0.0,56209.316
1190.0,2639.6658,1.0884081,3.2262733,0.0,56192.902
10.0,56834.88,3.188958,3.1911094,0.0,56852.383
8400.0,32103.16,1.5806998,2.6070602,503.0,68186.64
14740.0,5444.8936,1.1887927,3.023727,785.22394,63110.19
1310.0,57095.348,2.7345934,2.8874073,0.0,62947.98
8400.0,32103.16,1.5806998,2.6070602,503.0,68186.64
14740.0,5444.8936,1.1887927,3.023727,785.22394,63110.19
10.0,59074.188,3.046326,3.0487876,0.0,59291.062
2290.0,40673.176,2.232574,3.0626137,750.0,62918.46
150.0,56341.13,3.147249,3.1539354,0.0,56512.51
2800.0,3900.3835,1.1559249,2.9427085,0.0,61511.324
150.0,56341.13,3.147249,3.1539354,0.0,56512.51
2800.0,3900.3835,1.1559249,2.9427085,0.0,61511.324
5170.0,18077.355,1.6133529,3.035301,888.0,63079.11
1080.0,58340.125,3.1074266,3.1452549,0.0,60088.223
3990.0,23257.781,1.8352638,3.2290366,511.28165,62216.66
1080.0,58340.125,3.1074266,3.1452549,0.0,60088.223
3990.0,23257.781,1.8352638,3.2290366,511.28165,62216.66
3965.0,25406.768,1.8592402,3.1626158,664.8717,61286.414
5580.0,17811.277,1.656268,3.1423612,862.791,60012.375
3965.0,25406.768,1.8592402,3.1626158,664.8717,61286.414
5580.0,17811.277,1.656268,3.1423612,862.791,60012.375
2780.0,37030.523,2.220024,3.2436345,755.1064,60034.78
3315.0,29264.887,2.023912,3.2118058,835.0,59047.152
13255.0,6907.6855,1.3281747,3.1307871,900.0,61968.13
3545.0,21715.635,1.7975013,3.0201018,800.0,60713.91
245.0,57602.547,3.102299,3.1105325,0.0,58031.082
125.0,58643.688,2.6450677,2.650463,0.0,58880.07
125.0,58643.688,2.6450677,2.650463,0.0,58880.07
80.0,58628.195,2.8957915,2.9205086,0.0,59129.496
60.0,60073.312,2.8546402,2.855903,0.0,60175.07
65.0,57836.668,3.0368083,3.0381947,0.0,57942.73
75.0,57244.332,3.0439916,3.0468752,0.0,57482.457
110.0,57331.95,3.054081,3.0582771,0.0,57551.78
20.0,57253.977,3.1277418,3.128376,0.0,57295.68
1360.0,55760.8,2.9008257,3.0700233,0.0,61798.418
55.0,55878.746,3.2032971,3.2060187,0.0,56037.957
5070.0,1170.9332,1.0742981,3.153692,0.0,56936.973
125.0,56959.066,2.96551,2.9687502,0.0,57226.324
80.0,56786.22,3.221583,3.2233799,0.0,56969.57
125.0,56959.066,2.96551,2.9687502,0.0,57226.324
80.0,56786.22,3.221583,3.2233799,0.0,56969.57
75.0,57588.387,3.1536508,3.1563027,0.0,57767.32
110.0,56173.574,3.1506765,3.1539354,0.0,56343.754
75.0,57588.387,3.1536508,3.1563027,0.0,57767.32
110.0,56173.574,3.1506765,3.1539354,0.0,56343.754
20.0,58503.258,3.0368683,3.0381947,0.0,58537.66
20.0,58503.258,3.0368683,3.0381947,0.0,58537.66
3290.0,27788.645,1.8605523,2.9861112,878.0,63097.953
175.0,57997.43,2.974042,2.9803243,0.0,58302.473
3265.0,23674.02,1.856862,3.2204862,826.0,60995.625
175.0,57997.43,2.974042,2.9803243,0.0,58302.473
3265.0,23674.02,1.856862,3.2204862,826.0,60995.625
310.0,57684.477,2.977007,2.9890049,0.0,58287.598
